orb,rr,sl_mode,trades,wins,win_rate,avg_r,total_r
0900,1.0,full,521,306,0.5873320537428023,0.1746641074856046,91.0
0900,1.5,full,520,238,0.4576923076923077,0.14423076923076922,75.0
0900,2.0,full,518,194,0.3745173745173745,0.12355212355212356,64.0
0900,2.5,full,518,164,0.3166023166023166,0.10810810810810811,56.0
0900,3.0,full,516,145,0.2810077519379845,0.12403100775193798,64.0
0900,4.0,full,515,114,0.22135922330097088,0.10679611650485436,55.0
0900,5.0,full,514,97,0.188715953307393,0.13229571984435798,68.0
0900,6.0,full,514,88,0.17120622568093385,0.19844357976653695,102.0
0900,8.0,full,511,63,0.1232876712328767,0.1095890410958904,56.0
1000,1.0,full,523,313,0.5984703632887189,0.19694072657743786,103.0
1000,1.5,full,523,250,0.4780114722753346,0.1950286806883365,102.0
1000,2.0,full,523,217,0.4149139579349904,0.2447418738049713,128.0
1000,2.5,full,523,189,0.361376673040153,0.26481835564053535,138.5
1000,3.0,full,523,168,0.32122370936902483,0.28489483747609945,149.0
1000,4.0,full,520,130,0.25,0.25,130.0
1000,5.0,full,519,117,0.2254335260115607,0.35260115606936415,183.0
1000,6.0,full,516,100,0.1937984496124031,0.35658914728682173,184.0
1000,8.0,full,516,79,0.15310077519379844,0.37790697674418605,195.0
1100,1.0,full,522,311,0.5957854406130269,0.19157088122605365,100.0
1100,1.5,full,522,242,0.46360153256704983,0.15900383141762453,83.0
1100,2.0,full,522,205,0.39272030651340994,0.1781609195402299,93.0
1100,2.5,full,522,180,0.3448275862068966,0.20689655172413793,108.0
1100,3.0,full,520,158,0.3038461538461538,0.2153846153846154,112.0
1100,4.0,full,515,121,0.23495145631067962,0.17475728155339806,90.0
1100,5.0,full,510,99,0.19411764705882353,0.16470588235294117,84.0
1100,6.0,full,508,86,0.16929133858267717,0.18503937007874016,94.0
1100,8.0,full,491,53,0.1079429735234216,-0.028513238289205704,-14.0
1800,1.0,full,522,323,0.6187739463601533,0.23754789272030652,124.0
1800,1.5,full,522,266,0.5095785440613027,0.2739463601532567,143.0
1800,2.0,full,522,220,0.421455938697318,0.26436781609195403,138.0
1800,2.5,full,522,186,0.3563218390804598,0.2471264367816092,129.0
1800,3.0,full,521,160,0.30710172744721687,0.22840690978886757,119.0
1800,4.0,full,520,126,0.2423076923076923,0.21153846153846154,110.0
1800,5.0,full,515,94,0.1825242718446602,0.09514563106796116,49.0
1800,6.0,full,510,75,0.14705882352941177,0.029411764705882353,15.0
1800,8.0,full,499,49,0.09819639278557114,-0.11623246492985972,-58.0
2300,1.0,half,522,362,0.6934865900383141,0.38697318007662834,202.0
2300,1.5,half,522,293,0.5613026819923371,0.40325670498084293,210.5
2300,2.0,half,522,236,0.4521072796934866,0.3563218390804598,186.0
2300,2.5,half,522,199,0.38122605363984674,0.3342911877394636,174.5
2300,3.0,half,522,166,0.31800766283524906,0.2720306513409962,142.0
2300,4.0,half,522,137,0.2624521072796935,0.31226053639846746,163.0
2300,5.0,half,519,107,0.20616570327552985,0.23699421965317918,123.0
2300,6.0,half,517,87,0.16827852998065765,0.17794970986460348,92.0
2300,8.0,half,505,60,0.1188118811881188,0.06930693069306931,35.0
0030,1.0,half,522,322,0.6168582375478927,0.23371647509578544,122.0
0030,1.5,half,522,251,0.48084291187739464,0.2021072796934866,105.5
0030,2.0,half,522,211,0.4042145593869732,0.21264367816091953,111.0
0030,2.5,half,521,182,0.3493282149712092,0.22264875239923224,116.0
0030,3.0,half,520,163,0.31346153846153846,0.25384615384615383,132.0
0030,4.0,half,518,123,0.23745173745173745,0.18725868725868725,97.0
0030,5.0,half,513,94,0.18323586744639375,0.09941520467836257,51.0
0030,6.0,half,511,82,0.16046966731898238,0.1232876712328767,63.0
0030,8.0,half,496,58,0.11693548387096774,0.05241935483870968,26.0
