orb_time,direction,asia_type,london_type,ny_type,total_trades,wins,losses,no_trades,win_rate,avg_r,total_r,worst_r,best_r
ORB_0030,DOWN,EXPANDED,SWEEP_LOW,EXPANSION,10,9,1,0,0.9,0.8,8.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,13,8,5,0,0.6154,0.2308,3.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,CONSOLIDATION,SWEEP_HIGH,10,6,4,0,0.6,0.2,2.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_HIGH,EXPANSION,20,12,8,0,0.6,0.2,4.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_HIGH,CONSOLIDATION,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_0030,DOWN,NO_DATA,NO_DATA,NO_DATA,53,25,28,0,0.4717,-0.0566,-3.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,15,7,8,0,0.4667,-0.0667,-1.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,15,7,8,0,0.4667,-0.0667,-1.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,39,18,21,0,0.4615,-0.0769,-3.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,22,10,12,0,0.4545,-0.0909,-2.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,EXPANSION,SWEEP_HIGH,8,3,5,0,0.375,-0.25,-2.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,SWEEP_LOW,CONSOLIDATION,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_0030,DOWN,EXPANDED,CONSOLIDATION,EXPANSION,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_0030,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,9,6,3,0,0.6667,0.3333,3.0,-1.0,1.0
ORB_0030,UP,EXPANDED,EXPANSION,SWEEP_HIGH,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_0030,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,9,5,4,0,0.5556,0.1111,1.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,30,15,15,0,0.5,0.0,0.0,-1.0,1.0
ORB_0030,UP,EXPANDED,CONSOLIDATION,EXPANSION,16,8,8,0,0.5,0.0,0.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_HIGH,EXPANSION,19,9,10,0,0.4737,-0.0526,-1.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,37,16,21,0,0.4324,-0.1351,-5.0,-1.0,1.0
ORB_0030,UP,NO_DATA,NO_DATA,NO_DATA,53,22,31,0,0.4151,-0.1698,-9.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,34,14,20,0,0.4118,-0.1765,-6.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,37,15,22,0,0.4054,-0.1892,-7.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,10,4,6,0,0.4,-0.2,-2.0,-1.0,1.0
ORB_0030,UP,EXPANDED,EXPANSION,SWEEP_LOW,11,4,7,0,0.3636,-0.2727,-3.0,-1.0,1.0
ORB_0030,UP,EXPANDED,SWEEP_LOW,EXPANSION,6,2,4,0,0.3333,-0.3333,-2.0,-1.0,1.0
