setup,orb_time,direction,condition,edge_type,total_trades,wins,losses,win_rate,avg_r,total_r,median_r,best_r,worst_r
0900 Overall,0900,ANY,No filter,baseline,513,251,262,0.4893,-0.0214,-11.00,-1.0000,1.00,-1.00
0900 UP,0900,UP,No filter,baseline,268,134,134,0.5000,0.0000,0.00,0.0000,1.00,-1.00
0900 DOWN,0900,DOWN,No filter,baseline,245,117,128,0.4776,-0.0449,-11.00,-1.0000,1.00,-1.00
1000 Overall,1000,ANY,No filter,baseline,522,267,255,0.5115,0.0230,12.00,1.0000,1.00,-1.00
1000 UP,1000,UP,No filter,baseline,247,137,110,0.5547,0.1093,27.00,1.0000,1.00,-1.00
1000 DOWN,1000,DOWN,No filter,baseline,275,130,145,0.4727,-0.0545,-15.00,-1.0000,1.00,-1.00
1100 Overall,1100,ANY,No filter,baseline,515,257,258,0.4990,-0.0019,-1.00,-1.0000,1.00,-1.00
1100 UP,1100,UP,No filter,baseline,260,131,129,0.5038,0.0077,2.00,1.0000,1.00,-1.00
1100 DOWN,1100,DOWN,No filter,baseline,255,126,129,0.4941,-0.0118,-3.00,-1.0000,1.00,-1.00
1800 Overall,1800,ANY,No filter,baseline,519,269,250,0.5183,0.0366,19.00,1.0000,1.00,-1.00
1800 UP,1800,UP,No filter,baseline,285,147,138,0.5158,0.0316,9.00,1.0000,1.00,-1.00
1800 DOWN,1800,DOWN,No filter,baseline,234,122,112,0.5214,0.0427,10.00,1.0000,1.00,-1.00
2300 Overall,2300,ANY,No filter,baseline,509,248,261,0.4872,-0.0255,-13.00,-1.0000,1.00,-1.00
2300 UP,2300,UP,No filter,baseline,270,136,134,0.5037,0.0074,2.00,1.0000,1.00,-1.00
2300 DOWN,2300,DOWN,No filter,baseline,239,112,127,0.4686,-0.0628,-15.00,-1.0000,1.00,-1.00
0030 Overall,0030,ANY,No filter,baseline,475,231,244,0.4863,-0.0274,-13.00,-1.0000,1.00,-1.00
0030 UP,0030,UP,No filter,baseline,259,119,140,0.4595,-0.0811,-21.00,-1.0000,1.00,-1.00
0030 DOWN,0030,DOWN,No filter,baseline,216,112,104,0.5185,0.0370,8.00,1.0000,1.00,-1.00
0900 PRE_ASIA gt 30t,0900,ANY,PRE_ASIA > 30 ticks,pre_block,322,165,157,0.5124,0.0248,8.00,1.0000,1.00,-1.00
0900 PRE_ASIA lt 30t,0900,ANY,PRE_ASIA < 30 ticks,pre_block,141,57,84,0.4043,-0.1915,-27.00,-1.0000,1.00,-1.00
0900 PRE_ASIA gt 50t,0900,ANY,PRE_ASIA > 50 ticks,pre_block,226,119,107,0.5265,0.0531,12.00,1.0000,1.00,-1.00
0900 PRE_ASIA lt 50t,0900,ANY,PRE_ASIA < 50 ticks,pre_block,241,104,137,0.4315,-0.1369,-33.00,-1.0000,1.00,-1.00
1100 UP PRE_ASIA > 50t,1100,UP,PRE_ASIA > 50 ticks,pre_block,107,59,48,0.5514,0.1028,11.00,1.0000,1.00,-1.00
1100 DOWN PRE_ASIA > 50t,1100,DOWN,PRE_ASIA > 50 ticks,pre_block,114,59,55,0.5175,0.0351,4.00,1.0000,1.00,-1.00
1800 UP PRE_LONDON > 40t,1800,UP,PRE_LONDON > 40 ticks,pre_block,255,131,124,0.5137,0.0275,7.00,1.0000,1.00,-1.00
1800 DOWN PRE_LONDON > 40t,1800,DOWN,PRE_LONDON > 40 ticks,pre_block,193,104,89,0.5389,0.0777,15.00,1.0000,1.00,-1.00
0030 UP PRE_NY > 40t,0030,UP,PRE_NY > 40 ticks,pre_block,257,118,139,0.4591,-0.0817,-21.00,-1.0000,1.00,-1.00
0030 DOWN PRE_NY > 40t,0030,DOWN,PRE_NY > 40 ticks,pre_block,215,112,103,0.5209,0.0419,9.00,1.0000,1.00,-1.00
1000 UP after 0900 WIN,1000,UP,After 09:00 WIN,correlation,114,66,48,0.5789,0.1579,18.00,1.0000,1.00,-1.00
1000 DOWN after 0900 WIN,1000,DOWN,After 09:00 WIN,correlation,136,67,69,0.4926,-0.0147,-2.00,-1.0000,1.00,-1.00
1000 UP after 0900 LOSS,1000,UP,After 09:00 LOSS,correlation,131,69,62,0.5267,0.0534,7.00,1.0000,1.00,-1.00
1000 DOWN after 0900 LOSS,1000,DOWN,After 09:00 LOSS,correlation,131,61,70,0.4656,-0.0687,-9.00,-1.0000,1.00,-1.00
1100 UP after 0900 WIN + 1000 WIN,1100,UP,After 09:00 WIN + 10:00 WIN,correlation,68,39,29,0.5735,0.1471,10.00,1.0000,1.00,-1.00
1100 DOWN after 0900 WIN + 1000 WIN,1100,DOWN,After 09:00 WIN + 10:00 WIN,correlation,63,30,33,0.4762,-0.0476,-3.00,-1.0000,1.00,-1.00
1100 UP after 0900 WIN + 1000 LOSS,1100,UP,After 09:00 WIN + 10:00 LOSS,correlation,57,28,29,0.4912,-0.0175,-1.00,-1.0000,1.00,-1.00
1100 DOWN after 0900 WIN + 1000 LOSS,1100,DOWN,After 09:00 WIN + 10:00 LOSS,correlation,59,24,35,0.4068,-0.1864,-11.00,-1.0000,1.00,-1.00
1100 UP after 0900 LOSS + 1000 WIN,1100,UP,After 09:00 LOSS + 10:00 WIN,correlation,57,25,32,0.4386,-0.1228,-7.00,-1.0000,1.00,-1.00
1100 DOWN after 0900 LOSS + 1000 WIN,1100,DOWN,After 09:00 LOSS + 10:00 WIN,correlation,71,41,30,0.5775,0.1549,11.00,1.0000,1.00,-1.00
1100 UP after 0900 LOSS + 1000 LOSS,1100,UP,After 09:00 LOSS + 10:00 LOSS,correlation,73,37,36,0.5068,0.0137,1.00,1.0000,1.00,-1.00
1100 DOWN after 0900 LOSS + 1000 LOSS,1100,DOWN,After 09:00 LOSS + 10:00 LOSS,correlation,56,27,29,0.4821,-0.0357,-2.00,-1.0000,1.00,-1.00
